id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
1,阿,a1,a533,用在某些亲属名称的前面：～舅,,,,hinghwa-RAG词典
2,阿冇,a1pä4,ap1phɒ42,做事情很随便的人。②花钱随便的人。,,,,hinghwa-RAG词典
3,阿长,a1dung2,at1tuŋ13,长期保持关系的原配之外的异性，情人。一般指女性。,,,,hinghwa-RAG词典
4,阿公,a1gäng1,ak1kɒŋ533,祖父或外祖父。,,,,hinghwa-RAG词典
5,阿兄,a1hia1,a13ia533,哥哥。,,,,hinghwa-RAG词典
6,阿妈,a1ma3,ap1ma453,祖母。,,,“妈”读上声。,hinghwa-RAG词典
7,阿毜,a1mi1,ap1mi533,对小孩的昵称。,,,也叫【阿毜狮】见下方。,hinghwa-RAG词典
8,阿毜狮,a1mi1sai1,ap1mi13ɬai533,同【阿毜】见上方。,,,,hinghwa-RAG词典
9,阿伯,a1ba5,ap4pa21,父亲的哥哥。,,,,hinghwa-RAG词典
10,阿弟,a1di5,a13li21,弟弟。,,,,hinghwa-RAG词典
11,阿弟囝,a1di5güä3,a13li21yɒ453,小弟弟。,,,,hinghwa-RAG词典
12,阿尾哥,a1buai3go1,ap1puai13ko533,最小的孩子。,,,,hinghwa-RAG词典
13,阿妗,a1ging5,a13iŋ21,舅母（舅舅的妻子）。,,,,hinghwa-RAG词典
14,阿姊,a1li3,a21li453,妾。与“阿姊”连读音变不同。,,,参看【阿姊】at21tsi453见下方。,hinghwa-RAG词典
15,阿姊,a1zi3,at1tsi453,姐姐。,,,,hinghwa-RAG词典
16,阿姊夫,a1zi3hu1,at1tsi21,hu533姐夫。,,,,hinghwa-RAG词典
17,阿叔,a1zëk6,at4tsœʔ1,叔父（父亲的弟弟）。,,,,hinghwa-RAG词典
18,阿舍,a1sia4,a21lia42,,,,同【舍人囝】在第164页。,hinghwa-RAG词典
19,阿肥,a1bui2,ap1pui13,胖子。,,,,hinghwa-RAG词典
20,阿肥土,a1bui2tou3,ap1pui21thɔu453,大胖子，含戏谑意。,,,,hinghwa-RAG词典
21,阿沿,a1ëng2,a13œŋ13,锌铁片。,,,马来语ayan的音译。,hinghwa-RAG词典
22,阿妹,a1muai4,ap1muai21,妹妹。,,,,hinghwa-RAG词典
23,阿妹夫,a1muai4hu1,ap1muai55u533,妹夫。,,,,hinghwa-RAG词典
24,阿妹哥,a1muai4go1,ap1muai55ko533,对女孩子的昵称。,,,,hinghwa-RAG词典
25,阿姑,a1gou1,ak1kɔu533,姑姑（父亲的姐妹）。,,,,hinghwa-RAG词典
26,阿甚生,a1gou1,a1seng1sa1,at4sen55na533①同【甚生】在第160页。②怎么办：汝看卜～？,,,,hinghwa-RAG词典
27,阿姨,a1i2,a21i13,姨姨（母亲的姐妹）。,,,,hinghwa-RAG词典
28,阿姨囝,a1i2güä3,a21i13yɒ453,小姨子。妻子的妹妹。,,,,hinghwa-RAG词典
29,阿紧,a1ging3,ak1kiŋ453,赶紧：～去厝（快回家）,,,,hinghwa-RAG词典
30,阿倌,a1gua1,ak1,kua533同【契弟】在第108页。,,,,hinghwa-RAG词典
31,阿虚阿化,a1hü1a1hua4,aʔ1hy42aʔ1hua42,说话或为人不实在。,,,,hinghwa-RAG词典
32,阿婶,a1sing3,at1ɬiŋ453,婶婶（叔叔的妻子）。,,,,hinghwa-RAG词典
33,阿嫂,a1so3,a21lo453,嫂嫂（哥哥的妻子）。,,,,hinghwa-RAG词典
34,阿骚,a1sao1,at1ɬau533,调皮；诙谐；机灵；喜欢捉弄人。与“古意”相对：△～侬办～事（调皮的人干捉弄人的事）。,,,,hinghwa-RAG词典
35,阿骚囝,a1sao1güä3,at1ɬau21yɒ453,调皮、好作弄人的人。②滑稽的人。,,,也叫【骚囝】在第156页，【阿骚侬】见下方，【骚侬】在第156页。,hinghwa-RAG词典
36,阿骚侬,a1sao1nang2,at1ɬau21naŋ13,同【阿骚囝】见上方。,,,,hinghwa-RAG词典
37,阿舅,a1gu5,a13u21,舅舅（母亲的兄弟）。,,,,hinghwa-RAG词典
38,阿舅囝,a1gu5güä3,a13u21yɒ13,小舅子（妻子的弟弟）。,,,,hinghwa-RAG词典
39,阿蔽,a1be4,ap1pe42,扑克。,,,,hinghwa-RAG词典
40,鸦片生,a1peng4seng1,aʔ1ɛŋ55ɬɛŋ533,鸦片成瘾的人。,,,也叫【吗啡生】在第129页。,hinghwa-RAG词典
41,桁古,a2gou3,a21kɔu453,檩条。,,,,hinghwa-RAG词典
42,哑口蝉,a4kao3seng2,ɔu21au13lɛŋ13,哑巴。,,,,hinghwa-RAG词典
43,爱挃,ai4di2,ai42li13,喜欢：我无～者个色气（我不喜欢这种颜色）,,,,hinghwa-RAG词典
44,亦,ak6,aʔ1,副词，①表示同样：我～卜去（我也要去）,,,,hinghwa-RAG词典
45,阿卜,ak6bok6,ap1pɔʔ4,还，尚：～好。②也要：～食～提（也要吃，也要拿走）。,,,,hinghwa-RAG词典
46,亦卜…亦卜…,ak6bok6…ak6bok6…,ap1pɔʔ4…ap1pɔʔ4…,,,,同【卜…卜…】在第22页。,hinghwa-RAG词典
47,亦敢,ak6bok6…ak6bok6…,ak6gä3ak1,kɒ453副词。或许；可能：伊～有许厝（或许他在家）。,,,,hinghwa-RAG词典
48,安生,ang1sa1,an55na533,这样：～做,,,,hinghwa-RAG词典
49,安乐公,ang1läk7gäng1,an21lɒk1kɒŋ533,生活无忧、不必劳动、操劳的人。,,,,hinghwa-RAG词典
50,桉杉,ang1läk7gäng1,ang1sang1an21,ɬaŋ533桉树。,,,,hinghwa-RAG词典
51,闇阿闇命,ang1a1ang1mia5,aŋ55ŋa55am13mia21,傻人有傻福。,,,,hinghwa-RAG词典
52,闇神,ang1sing2,an21ɬiŋ13,痴呆；呆傻：侬有少少～（人有点儿呆傻）。,,,,hinghwa-RAG词典
53,闇神阿,ang1sing2a1,an21ɬiŋ13ŋaʔ21,傻子；呆子。,,,,hinghwa-RAG词典
54,红九,ang2giu3,aŋ21kiu453,一种身体红色的小海鱼。,,,,hinghwa-RAG词典
55,红丸,ang2uai2,aŋ21uai13,莆仙特色食品，节日食品。把豆腐捏碎，加上调料，做成比乒乓球略大的小圆球，外裹淀粉，放入滚开的清水中煮。浮起来后就可以捞起，表皮染上红色。,,,,hinghwa-RAG词典
56,红毛灰,ang2mä2huai1,am21mɒ13uai533,水泥的旧称。,,,,hinghwa-RAG词典
57,红毛苔,ang2mä2ti2,am21mo21thi13,莆田红毛菜，是EPA（即二十碳五烯酸的英文缩写，是鱼油的主要成分，藻类中也有）含量最高的海洋藻类生物。,,,,hinghwa-RAG词典
58,红毛番,ang2mä2huang1,am21mɒ13huaŋ533,旧时指荷兰人。,,,,hinghwa-RAG词典
59,红目糟,ang2mak7zao1,am21mat1tsau533,红眼病。,,,,hinghwa-RAG词典
60,红母蟳,ang2bo3sing2,am21mo13liŋ13,外壳变红色的母蟳，这种蟳膏满肉肥，质量最好。,,,,hinghwa-RAG词典
61,红团,ang2duang2,an21tuaŋ13,莆仙最有特色的节日食品、喜庆食品。糯米浸泡后磨成粉，加水搅拌后做成皮，加糖煮熟的绿豆、糯米等为馅。皮包馅后，放入木制印模印成扁圆状，约巴掌大，底下衬上艳山姜的叶子，放入蒸笼蒸熟。表面因加了食用红而呈红色。主要用于春节，也用于其他一些节日、喜庆。,,,,hinghwa-RAG词典
62,红团印,ang2duang2ing4,an21tuaŋ55iŋ42,印制红团的木印模。,,,参看【红团】见上方。,hinghwa-RAG词典
63,红团箬,ang2duang2niao2,an21tuan21niau13,同【馃箬】在第84页。,,,,hinghwa-RAG词典
64,红字簿,ang2zi5pou5,an21tsi42pɔu21,描红本子。,,,,hinghwa-RAG词典
65,红花,ang2hua1,aŋ21hua533,天竺葵。,,,,hinghwa-RAG词典
66,红肚,ang2dou3,an21tɔu453,红肚兜。本地一般用于围护婴孩的胸腹。,,,,hinghwa-RAG词典
67,红灶妈,ang2zao4ma3,an21tsau55ma453,喜欢经常穿红衣服的妇女，谑称。灶妈指灶公的配偶，她在画像中一般是穿红衣服的。,,,,hinghwa-RAG词典
68,红鸡公,ang2zao4ma3,ang2ge1gäng1aŋ21ke1,3kɒŋ533]民国时期（1948年8月至1949年7月）发行的红色票面金圆卷。,,,,hinghwa-RAG词典
69,红空,ang2kang1,aŋ21khaŋ533,虚荣心强；喜欢炫耀：伊是好～的侬,,,,hinghwa-RAG词典
70,红衫,ang2sä1,an21nɒ533,女子穿的红色上衣。莆仙女子，逢节日喜欢穿全套大红衣服，表示喜庆、圆满、富贵。,,,,hinghwa-RAG词典
71,红封,ang2häng1,aŋ21hɒŋ533,用红纸（袋）包着的礼金，用于送亲友表示祝贺或慰问。,,,,hinghwa-RAG词典
72,红柑,ang2gä1,aŋ21kɒ533,柑；橘子。,,,,hinghwa-RAG词典
73,红柑茶,ang2gä1dä2,aŋ21kɒ13lɒ13,一种保健食品。可用于治疗消化不良。把茶叶塞进桔子中，晾干。用时切下一块放在容器中，加上水，再把容器放入锅中隔水炖。喝熬成的汤。,,,,hinghwa-RAG词典
74,红柑篮,ang2gä1nä2,aŋ21kɒ21nɒ13,装鲜柑桔之类用的篮。,,,,hinghwa-RAG词典
75,红柿,ang2ki5,aŋ21khi21,柿子。,,,,hinghwa-RAG词典
76,红毡,ang2zeng1,an21tsɛŋ533,毛毯。,,,,hinghwa-RAG词典
77,红烛,ang2zäk6,an42tsɒʔ1,红蜡烛。,,,,hinghwa-RAG词典
78,红涂,ang2tou2,an21nɔu13,红壤。,,,,hinghwa-RAG词典
79,红菇炕（豆腐）,ang2gou1käng4（dao5hu3）,aŋ21ŋɒu55khɒn55tau42,莆仙特色菜肴，红菇炖豆腐。,,,,hinghwa-RAG词典
80,红脚蟹,ang2kä1he5,aŋ21ŋɒ13e21,招潮蟹。大螯是红色的。△～，脚会大身（喻末大于本）。,,,,hinghwa-RAG词典
81,红䖳,ang2tä4,an55thɒ42,表皮紫红色的海蜇皮。,,,,hinghwa-RAG词典
82,红猴,ang2gao2,aŋ21kau13,猴子。,,,,hinghwa-RAG词典
83,红猴芒挦,ang2gao2mung2cüä2,aŋ21kau21muŋ13tshyɒ13,猴子拔毛，喻发怒的样子。,,,,hinghwa-RAG词典
84,红猴面,ang2gao2ming4,aŋ21kau55miŋ42,脸部瘦削，两腮无肉。②指假面具：许呆囝戴孙悟空的～。,,,,hinghwa-RAG词典
85,红猴帽,ang2gao2bo5,aŋ21kau42o21,将整个脸部全遮掩只露出两只眼睛的帽子。,,,,hinghwa-RAG词典
86,红鼻番,ang2pi4huang1,am21mi55uaŋ533,一种全身纯白羽毛，形体较大的鸭子。,,,,hinghwa-RAG词典
87,红膏,ang2go1,aŋ21ko533,蛋黄；蟹黄。,,,,hinghwa-RAG词典
88,红靛,ang2deng5,an42tɛŋ21,红药水。,,,,hinghwa-RAG词典
89,红髻索,ang2guai4so5,aŋ21ŋuai42lo21,红头绳。,,,,hinghwa-RAG词典
90,红薰,ang2hong1,aŋ21hɔŋ533,烟丝的一个品种。色红。,,,,hinghwa-RAG词典
91,涵沟槽,ang2gao1so2,aŋ21ŋau21lo1,3,,,同【沟槽】在第68页。,hinghwa-RAG词典
92,饮,ang3,aŋ453,稀饭的汤汁。,,,,hinghwa-RAG词典
93,饮糜,ang3muai2,am13muai13,稀饭；粥：起早食～。△食龙食凤，伓如蜀碗～汤（按照莆仙人的饮食习惯，还是吃稀饭可口）。,,,,hinghwa-RAG词典
94,盎,ang4,aŋ42,陶缸：米～。,,,,hinghwa-RAG词典
95,暗下,ang4ä5,aŋ42ŋɒ21,阴着儿：使～。,,,,hinghwa-RAG词典
96,暗心毒行,ang4sing1däk7heng5,an55ɬin55tɒʔ4hɛŋ21,隐藏不为人知的狠毒心肠。,,,,hinghwa-RAG词典
97,暗帕,ang4sing1däk7heng5,ang4pä4am55pɒ21,除了袋盖，其他部分都在衣服内部的口袋，如西装口袋。与“显帕”相对。,,,,hinghwa-RAG词典
98,暗定,ang4dia5,an42nia21,黄昏。,,,,hinghwa-RAG词典
99,暗摸眩,ang4mou1hüng2,am42mɔu21yŋ13,晕眩，是目眩（眼花视物模糊不清和昏暗发黑）和头晕（视物旋转，或如天旋地转不能站立）的总称。,,,,hinghwa-RAG词典
100,暗暝时,ang4ma2si2,am42ma21i13,夜里。②晚上。,,,同【暝时】在第127页。,hinghwa-RAG词典
101,蓊,ang5,aŋ21,茂盛：树～～。,,,,hinghwa-RAG词典
102,瓯,ao1,au533,小碗，,,,也叫【瓯囝】见下方。,hinghwa-RAG词典
103,瓯囝,ao1güä3,au21yɒ453,同【瓯】见上方。,,,,hinghwa-RAG词典
104,鏖糟,ao2zao1,au21lau533,,,,同【见脏】在第74页。,hinghwa-RAG词典
105,后□,ao5käng5,au42khɒŋ21,向后仰倒。,,,,hinghwa-RAG词典
106,后工,ao5gang1,au21kaŋ533,改天：等～再讲。,,,,hinghwa-RAG词典
107,后山,ao5sua1,au21lua533,后台；靠山。,,,也说【后壁山】在第5页。,hinghwa-RAG词典
108,后厄,ao5ek6,au21ɛʔ1,后天,,,,hinghwa-RAG词典
109,后厄下昼,ao5ek6ä5dao4,au21ɛʔ1ɒ55lau42,后天下午。,,,,hinghwa-RAG词典
110,后厄年,ao5ek6ning2,au21ɛt1niŋ13,后年。,,,,hinghwa-RAG词典
111,后厄起早,ao5ek6ki3zä3,au21ɛʔ1khi21ɒ453,后天早上。,,,,hinghwa-RAG词典
112,后厄暝,ao5ek6ma2,au21ɛp1ma13,后天晚上。,,,,hinghwa-RAG词典
113,后日,ao5dik7,au21liʔ4,以后。,,,,hinghwa-RAG词典
114,后世,ao5se4,au55le42,同【下世】在第5页。,,,,hinghwa-RAG词典
115,后世债,ao5se4zua4,ɔu21le55lua42,民间认为，欠死者的钱一定要还清，否则下世会被讨债。,,,,hinghwa-RAG词典
116,后向,ao5hiao4,au55hiau42,后面，与“头前”①义相对。,,,,hinghwa-RAG词典
117,后角,ao5gak6,au42kaʔ1,后面。,,,,hinghwa-RAG词典
118,后角尾,ao5gak6buai3,au21kap4puai453,最后面。,,,,hinghwa-RAG词典
119,后尾,ao5buai3,au55βuai453,后来：做头我伓知向，～有听别侬讲。,,,,hinghwa-RAG词典
120,后披,ao5puak7,au21phuaʔ4,前后坡房子的后坡。,,,,hinghwa-RAG词典
121,后枕窠,ao5zing3ko1,au21tsiŋ13kho533,后脑勺儿。,,,,hinghwa-RAG词典
122,后郎罢,ao5läng2bä5,au21lɒ42βɒ21,后爹。,,,,hinghwa-RAG词典
123,后房,ao5bang2,au21βaŋ13,莆仙民居大厅后面的那一间。,,,,hinghwa-RAG词典
124,后衫衣,ao5sä1i1,au21lɒ13i533,衣服的后面。,,,,hinghwa-RAG词典
125,后驶,ao5sai3,au21ɬai453,出界。,,,英语outside的音译。,hinghwa-RAG词典
126,后娘妳,ao5niao2ne3,au21niau13le453,后娘。,,,,hinghwa-RAG词典
127,后假,ao5ga3,au21βa13,假，与“真经”相对：伊讲～话,,,,hinghwa-RAG词典
128,后假话,ao5ga3ua5,au21βa42ua21,谎话；假话。,,,,hinghwa-RAG词典
129,后假骗,ao5ga3peng4,au21βa55phɛŋ42,骗人：爸爸～，汝伓使惊（爸爸骗你，不要怕）。,,,,hinghwa-RAG词典
130,后脚𩨑,ao5kä1ta1,au21ɒ13ta533,脚后跟。,,,也叫【脚后𩨑】在第106页。,hinghwa-RAG词典
131,后棚,ao5ba2,au21βa13,戏台侧旁，乐队所在处。,,,,hinghwa-RAG词典
132,后禁,ao5ging4,au55kiŋ42,自行车后轮刹把。,,,,hinghwa-RAG词典
133,后遮封,ao5zia1häng1,au21lia13ɒŋ533,旧式木床铺后壁的防护围板。,,,,hinghwa-RAG词典
134,后篙,ao5go1,au21o533,在溪流河沟里用竹竿刺船前进时，在后面刺船的人，一般技术较高，要掌握方向。,,,,hinghwa-RAG词典
135,后壁山,ao5bia5sua1,au21ia55lua533,同【后山】在第4页。,,,,hinghwa-RAG词典
136,莴苣仁,ä1gü5zing2,ɒ13i21tsiŋ13,一种下饭的菜。把莴切成圆形薄片，再用酱油腌制而成。,,,,hinghwa-RAG词典
137,莴苣尾,ä1gü5buai3,ɒ13y21βuai453,莴苣。,,,,hinghwa-RAG词典
138,下丁下哥,ä5deng1ä5go1,ɒ21lɛŋ21ɒ13o533,晚辈，含轻蔑意：汝～知甚么。,,,,hinghwa-RAG词典
139,下工,ä5gang1,ɒ21aŋ533,明天；改天。,,,,hinghwa-RAG词典
140,下上昼,ä5siao5dao4,ɒ21liau55lau42,上午的下半段。,,,,hinghwa-RAG词典
141,下日,ä5dik7,ɒ21liʔ4,改天：今旦无工（今天没空），～来。,,,,hinghwa-RAG词典
142,下手,ä5ciu3,ɒ21tshiu453,下属，部下，接替前辈工作事业的人：培养～厄侬。,,,,hinghwa-RAG词典
143,下手肚,ä5ciu3dou3,ɒ21liu13lɔu453,前臂。,,,,hinghwa-RAG词典
144,下月,ä5guai2,ɒ21kuai13,下个月。,,,也叫【过月】在第78页。,hinghwa-RAG词典
145,下爿,ä5be2,ɒ21me13,下头，与“顶爿”相对。下手。,,,,hinghwa-RAG词典
146,下世,ä5se4,ɒ55le42,来生。,,,也叫【后世】在第4页。,hinghwa-RAG词典
147,下半暝,ä5bua4ma2,ɒ21ua42ma13,下半夜。,,,,hinghwa-RAG词典
148,下头,ä5tao2,ɒ21lau13,下面。与“顶头”相对。,,,,hinghwa-RAG词典
149,下礼拜,ä5le3bai4,ɒ13le21ai42,下星期。,,,,hinghwa-RAG词典
150,下年,ä5ning2,ɒ13niŋ13,明年。,,,,hinghwa-RAG词典
151,下向,ä5hiao4,ɒ55hiau42,下面。与“顶向”相对。,,,,hinghwa-RAG词典
152,下向爿,ä5hiao4be2,ɒ21hiau42me13,下边，与“顶向爿”相对。,,,,hinghwa-RAG词典
153,下行,ä5ng2,ɒ21ŋ13,下一辈。,,,,hinghwa-RAG词典
154,下衣弧,ä5i1hou2,ɒ21i21ɔu13,衣服的下缘。,,,,hinghwa-RAG词典
155,下时,ä5si2,ɒ21i13,近来：我～厄少去下乡（我近来较少下乡）。,,,,hinghwa-RAG词典
156,下间,ä5ge1,ɒ55e533,莆仙民居，多进房子，前面第一座房子门前场院两边盖的房子。一般是连续横向三间，两边门户相对。,,,也叫【护厝】在第95页。,hinghwa-RAG词典
157,下间拖,ä5ge1tua1,ɒ13e13thua533,莆仙民居，正房两旁厢厅向前延伸的房子。,,,,hinghwa-RAG词典
158,下尾拖,ä5buai3tua1,ɒ21uai13thua533,在原来的房屋后面再续接的房间，以作后厢房。,,,,hinghwa-RAG词典
159,下范,ä5bang5,ɒ42paŋ21,后一阵子。,,,,hinghwa-RAG词典
160,下季,ä5gui4,ɒ55ui42,晚季。,,,,hinghwa-RAG词典
161,下季米,ä5gui4bi3,ɒ21ui55βi453,晚稻米。,,,,hinghwa-RAG词典
162,下季草,ä5gui4cao3,ɒ21ui55lau453,晚稻脱粒后的稻草。,,,,hinghwa-RAG词典
163,下季粙,ä5gui4diu5,ɒ21ui42liu21,晚稻。,,,,hinghwa-RAG词典
164,下底,ä5de3,ɒ21le453,下面，与“顶头”相对。,,,也叫【下底头】见下方。,hinghwa-RAG词典
165,下底头,ä5de3tao2,ɒ21le13au13,同见上方【下底】。,,,,hinghwa-RAG词典
166,下面话,ä5ming4ua5,ɒ21miŋ42ŋua42,同【乞食话】在第113页。,,,,hinghwa-RAG词典
167,下昼,ä5dao4,ɒ55lau42,下午。,,,也叫【下昼时】见下方。,hinghwa-RAG词典
168,下昼牙,ä5dao4gä2,ɒ21lau42ɒ13,午饭与晚饭之间吃的点心。,,,,hinghwa-RAG词典
169,下昼时,ä5dao4si2,ɒ21lau42li13,同见上方【下昼】。,,,,hinghwa-RAG词典
170,下昼尾,ä5dao4buai3,ɒ21lau55uai453,将近黄昏的时候。,,,,hinghwa-RAG词典
171,下昼尾尾,ä5dao4buai3buai3,ɒ21lau55uai21uai453,黄昏。,,,,hinghwa-RAG词典
172,下座,ä5zo5,ɒ42lo21,莆仙民居，在护厝的末端、正房正前方，续盖跟正厝格局相同、朝向一样的房子。△顶座未起起～（喻同胞兄弟姐妹中，年纪小的比年纪大的早结婚）。,,,参看【护厝】在第95页。,hinghwa-RAG词典
173,下座照,ä5zo5ziao4,ɒ21lo55liau42,莆仙民居，正房前院所建的一排面向正房房子。,,,,hinghwa-RAG词典
174,下脚肚,ä5kä1dou3,ɒ21ɒ13lɔu453,小腿。,,,,hinghwa-RAG词典
175,下脚肚,ä5kä1dou3,ɒ21ɒ13lɔu453,小腿。,,,,hinghwa-RAG词典
176,下番,ä5pang1,ɒ21phaŋ13,后一阵子；下次。,,,,hinghwa-RAG词典
177,下颏,ä5hai5,ɒ21βai13,下巴。也称下口。,,,,hinghwa-RAG词典
178,下满,ä5mua3,ɒ21mua453,下次；等下。与“顶满”相对。,,,,hinghwa-RAG词典
179,下嘴接,ä5cui4zi5,ɒ21lui42tsi21,接嘴：我讲未曾了，汝伓通～（我还没有说完，你不要紧接着说）。,,,,hinghwa-RAG词典
180,押,ä5,ɒ21,强制：～行（赶走）,,,,hinghwa-RAG词典
181,鸭母,ä5bo3,ɒ55βo453,母鸭。,,,,hinghwa-RAG词典
182,鸭交,ä5gao1,ɒ55kau533,公鸭。,,,,hinghwa-RAG词典
183,鸭交声,ä5gao1sia1,ɒ42kau13lia533,青春期的男孩变声。,,,,hinghwa-RAG词典
184,鸭卵绿,ä5në5läk7,ɒ42nø13lɒʔ4,极淡的青色。,,,,hinghwa-RAG词典
185,鸭咪,ä5bi2,ɒ42pi13,鸭子。,,,,hinghwa-RAG词典
186,鸭胗,ä5ging5,ɒk1kiŋ21,鸭肫。,,,,hinghwa-RAG词典
187,鸭蛋圈,ä5në5këng1,ɒ42nø13khœŋ533,零分。,,,,hinghwa-RAG词典
188,哦是,ä5si5,ɒ21ɬi21,唯唯诺诺，一味附和。,,,,hinghwa-RAG词典
189,鴨管鹅,ä5guang3güä2,ɒ21kuaŋ13kyɒ13,小的管大的。,,,,hinghwa-RAG词典
190,沃,äk6,ɒʔ1,淋：～雨,,,,hinghwa-RAG词典
191,沃水,äk6zui3,ɒt4tsui453,浇水。,,,,hinghwa-RAG词典
192,沃花,äk6hua1,ɒʔ4hua533,浇花。,,,,hinghwa-RAG词典
193,沃肥,äk6bui2,ɒp4pui13,施肥,,,也叫在第152页【泼肥】,hinghwa-RAG词典
194,沃菜,äk6cai4,ɒt4tshai42,浇菜。,,,,hinghwa-RAG词典
195,沃粗水,äk6cou1zui3,ɒt4tshɔu21lui453,给农作物浇施人粪尿。,,,,hinghwa-RAG词典
196,恶物,äk6muai2,ɒp4muai13,癌之类的不治之症。,,,,hinghwa-RAG词典
197,恶少,äk7siao4,ɒʔ4ɬiau42,恶霸。,,,,hinghwa-RAG词典
198,塕,äng1,ɒŋ533,（尘土）飞扬：楼顶装修土粉～到楼下。②洒：～肥粉（洒化肥，施肥）,,,,hinghwa-RAG词典
199,塕尘,äng1dong2,ɒn21nɒŋ13,灰尘。,,,,hinghwa-RAG词典
200,塕肥粉,äng1bui2hong3,ɒŋ21pui21ɔŋ453,撒化肥。,,,,hinghwa-RAG词典
201,王不见王,äng2bok6geng4äng2,ɒm13pɔʔ1kɛŋ42ɒŋ13,象棋下法之一。将与帅不能对面相见。,,,,hinghwa-RAG词典
202,王爿,äng2be2,ɒm21me13,汉字偏旁，王字旁“𤣩”。,,,,hinghwa-RAG词典
203,王爷,äng2ia2,ɒŋ21ŋia13,喻横行霸道的人。,,,,hinghwa-RAG词典
204,王番,äng2huang1,ɒŋ21ŋuaŋ533,银元。,,,又叫【大番】在第60页。,hinghwa-RAG词典
205,番钱囝,äng2huang1güä3,huaŋ21niŋ13ŋyɒ453,硬币。,,,,hinghwa-RAG词典
206,往,äng3,ɒŋ453,事情多，不得空，跟“闲”相对：我无空，实在～。②急迫不停地、加紧做：汝最近～甚么？,,,,hinghwa-RAG词典
